/* DATA DESCRIPTION:
Citation:	Tiedemann, R et al. (1994): Dust content in sediments of ODP Hole 108-659A in the North Atlantic. doi:10.1594/PANGAEA.52518, 
	In Supplement to: Tiedemann, Ralf; Sarnthein, Michael; Shackleton, Nicholas J (1994): Astronomic timescale for the Pliocene Atlantic d18O and dust flux records of Ocean Drilling Program site 659. Paleoceanography, 9(4), 619-638, doi:10.1029/94PA00208
Project(s):	Helmholtz Centre for Ocean Research Kiel (GEOMAR) (URI: http://www.geomar.de/en/)
	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Coverage:	LATITUDE: 18.077200 * LONGITUDE: -21.026200
	DATE/TIME START: 1986-03-09T09:30:00 * DATE/TIME END: 1986-03-11T05:30:00
	MINIMUM DEPTH, sediment/rock: 0.1 m * MAXIMUM DEPTH, sediment/rock: 149.6 m
Event(s):	108-659A * LATITUDE: 18.077200 * LONGITUDE: -21.026200 * DATE/TIME START: 1986-03-09T09:30:00 * DATE/TIME END: 1986-03-11T05:30:00 * ELEVATION: -3082.0 m * RECOVERY: 174.95 m * PENETRATION: 273.80 m * LOCATION: North Atlantic Ocean * CAMPAIGN: Leg108 (URI: doi:10.2973/odp.proc.ir.108.1988) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * DEVICE: Drilling * COMMENT: 29 cores; 273.8 m cored; 0 m drilled; 63.9 % recovery
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * Geocode
	Dust, aeolian [%] (Dust) * PI: Tiedemann, Ralf (URL: http://www.awi.de/People/show?rtiedema, eMail: ralf.tiedemann@awi.de) * METHOD: see comment * COMMENT: Depth is a result from correlations between holes A, B and C (see Depth, composite). The noncarbonate fraction (100% minus %CaCO3) is considered to be purely eaolian, because the concentrations of biogenic opal (<2%), organic carbon (<0.5%), and volcanic glass are negligible and fluvial sediment supply and turbidites cannot reach this position (Tiedemann et al., 1989)
	Density, dry bulk [g/cm**3] (DBD) * PI: Tiedemann, Ralf (URL: http://www.awi.de/People/show?rtiedema, eMail: ralf.tiedemann@awi.de) * COMMENT: Depth is a result from correlations between holes A, B and C (see Depth, composite).
	Accumulation rate, dust [g/cm**2/ka] (Acc rate dust) * PI: Tiedemann, Ralf (URL: http://www.awi.de/People/show?rtiedema, eMail: ralf.tiedemann@awi.de) * METHOD: calculated * COMMENT: Depth is a result from correlations between holes A, B and C (see Depth, composite). The noncarbonate fraction (100% minus %CaCO3) is considered to be purely eaolian, because the concentrations of biogenic opal (<2%), organic carbon (<0.5%), and volcanic glass are negligible and fluvial sediment supply and turbidites cannot reach this position (Tiedemann et al., 1989)
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	3720 data points
*/
Depth [m]	Dust [%]	DBD [g/cm**3]	Acc rate dust [g/cm**2/ka]
82.30	16.20	0.90	0.521
82.48	13.51	0.90	0.434
82.63	14.68	0.91	0.477
82.77	19.27	0.91	0.581
82.92	17.26	0.92	0.492
83.06	21.60	0.92	0.616
83.21	16.74	0.92	0.477
83.29	21.02	0.92	0.599
83.39	23.06	0.93	0.593
83.51	17.19	0.93	0.405
83.66	14.40	0.94	0.343
83.75	16.36	0.94	0.390
83.80	17.50	0.94	0.417
83.85	16.83	0.94	0.401
83.99	22.73	0.95	0.548
84.10	25.37	0.95	0.679
84.19	23.10	0.96	0.723
84.27	23.30	0.96	0.729
84.42	15.97	0.97	0.505
84.56	12.60	0.98	0.403
84.71	18.52	0.98	0.592
84.79	24.73	0.98	0.790
84.85	32.35	0.99	1.069
85.02	17.21	1.00	0.579
85.17	15.05	1.01	0.511
85.34	25.20	1.02	0.865
85.40	30.60	1.02	1.050
85.46	43.86	1.02	1.504
85.48	36.68	1.02	1.258
85.59	51.32	1.01	1.425
85.66	49.33	1.01	1.064
85.77	17.79	1.01	0.384
85.84	19.81	1.00	0.423
85.97	21.19	1.00	0.453
86.06	30.65	1.00	0.718
86.17	27.33	0.99	0.689
86.27	25.66	0.99	0.647
86.37	26.17	0.99	0.659
86.47	24.21	0.98	0.604
86.62	40.50	0.98	1.026
86.71	25.93	0.98	0.674
86.85	15.14	0.97	0.390
86.97	17.99	0.97	0.463
87.15	29.95	0.96	0.763
87.31	34.26	0.96	0.911
87.42	15.19	0.96	0.431
87.56	15.60	0.95	0.438
87.64	14.64	0.95	0.411
87.74	24.90	0.95	0.699
87.84	30.09	0.95	0.845
87.99	44.11	0.96	1.390
88.16	34.23	0.96	1.195
88.31	14.05	0.97	0.496
88.46	19.46	0.98	0.693
88.63	24.89	0.99	0.896
88.66	33.80	0.99	1.217
88.79	54.18	1.01	2.103
88.98	15.88	1.02	0.648
89.05	15.89	1.02	0.648
89.12	18.50	1.02	0.755
89.21	23.55	1.03	0.970
89.27	37.90	1.03	1.561
89.38	44.22	1.02	1.804
89.53	36.58	1.01	1.478
89.67	73.53	0.99	1.924
89.85	17.15	0.98	0.351
89.93	20.15	0.97	0.409
90.08	27.39	0.96	0.550
90.13	37.70	0.95	0.981
90.26	27.06	0.95	0.800
90.40	14.77	0.93	0.427
90.53	15.96	0.92	0.457
90.68	13.63	0.91	0.386
90.77	17.50	0.90	0.490
90.85	18.73	0.91	0.528
90.98	29.20	0.92	0.803
91.08	26.40	0.93	0.704
91.13	19.21	0.94	0.518
91.23	33.46	0.95	0.912
91.29	14.81	0.95	0.404
91.33	21.35	0.96	0.588
91.42	21.80	0.97	0.607
91.56	38.23	0.98	1.075
91.63	53.20	0.99	1.573
91.77	54.29	1.01	1.671
92.06	16.84	1.05	0.539
92.12	22.10	1.05	0.707
92.18	25.69	1.06	0.830
92.27	42.60	1.07	1.418
92.46	17.50	1.05	0.578
92.63	20.43	1.02	0.655
92.74	36.48	1.01	1.158
92.76	40.19	1.01	1.276
92.93	46.63	0.99	1.236
93.13	18.50	0.97	0.427
93.26	16.14	0.96	0.368
93.52	16.24	0.94	0.363
93.68	16.92	0.93	0.374
93.77	17.70	0.92	0.387
93.85	16.84	0.92	0.368
93.92	17.36	0.92	0.380
94.04	18.75	0.91	0.406
94.13	17.73	0.91	0.368
94.26	25.40	0.92	0.503
94.39	19.72	0.94	0.388
94.46	23.48	0.95	0.467
94.63	48.20	0.97	1.213
94.76	17.87	0.99	0.666
95.03	15.64	1.03	0.607
95.18	30.19	1.05	1.193
95.27	37.00	1.06	1.510
95.33	30.29	1.04	1.255
95.48	16.53	0.97	0.639
95.63	15.74	0.91	0.570
95.65	18.88	0.90	0.677
95.76	18.22	0.91	0.660
96.81	32.29	0.97	0.880
96.91	34.78	0.98	0.957
96.99	34.09	0.98	0.938
97.09	18.12	0.99	0.504
97.15	17.51	0.99	0.487
97.25	27.24	0.99	0.757
97.30	33.80	1.00	0.949
97.47	45.34	0.99	1.407
97.57	27.93	0.99	1.080
97.66	15.81	0.99	0.611
97.68	13.41	0.99	0.518
97.83	16.50	0.99	0.638
97.94	18.01	0.99	0.696
98.02	20.84	0.99	0.806
98.16	30.80	0.99	1.191
98.29	42.20	1.00	0.843
98.54	18.28	1.01	0.294
98.65	28.80	1.02	0.468
98.67	39.22	1.03	0.644
98.70	35.04	1.02	0.570
98.80	40.20	1.03	0.726
98.93	20.70	1.02	0.401
99.11	41.48	1.01	0.796
99.18	54.82	1.01	1.141
99.30	42.42	0.99	0.910
99.37	16.68	0.99	0.358
99.45	17.85	0.99	0.383
99.52	20.67	0.98	0.439
99.66	24.50	0.97	0.515
99.80	18.02	0.96	0.375
99.90	22.38	0.95	0.461
99.99	32.19	0.95	0.663
100.09	49.42	0.95	0.981
100.21	46.71	0.94	0.890
100.30	18.10	0.94	0.345
100.38	18.44	0.94	0.351
100.50	15.47	0.94	0.295
100.59	18.21	0.94	0.347
100.68	15.85	0.94	0.302
100.84	19.35	0.94	0.369
100.95	22.77	0.94	0.434
101.05	11.60	0.94	0.221
101.39	25.68	0.95	0.495
101.57	35.17	0.95	0.739
101.65	28.90	0.98	0.785
101.76	15.95	1.01	0.447
101.80	14.10	1.03	0.403
101.82	14.20	1.03	0.405
101.97	18.67	1.08	0.559
102.09	37.32	1.10	1.138
102.17	43.66	1.11	1.344
102.18	47.30	1.11	1.341
102.25	23.41	1.10	0.651
102.27	28.40	1.09	0.782
102.33	15.88	1.08	0.433
102.37	17.46	1.08	0.476
102.48	22.56	1.05	0.599
102.64	35.75	1.03	0.930
102.66	43.30	1.02	1.026
102.68	33.65	1.02	0.738
102.82	28.11	0.99	0.598
102.89	22.31	0.98	0.470
103.01	26.99	0.95	0.551
103.09	27.50	0.95	0.537
103.15	20.70	0.93	0.374
103.27	18.93	0.94	0.345
103.30	21.10	0.94	0.385
103.42	24.53	0.94	0.571
103.55	21.30	0.94	0.664
103.59	13.74	0.94	0.428
103.62	15.68	0.94	0.489
103.68	21.47	0.94	0.669
103.81	19.66	0.93	0.606
103.98	26.88	0.93	0.829
104.05	30.57	0.93	0.845
104.11	19.27	0.93	0.475
104.16	17.00	0.93	0.419
104.27	18.76	0.93	0.462
104.37	20.20	0.93	0.498
104.51	38.72	0.92	0.944
104.58	42.90	0.92	0.863
104.71	19.87	0.92	0.366
104.80	14.72	0.92	0.271
104.88	24.47	0.92	0.450
104.94	31.00	0.93	0.731
105.09	20.59	0.94	0.550
105.18	20.19	0.94	0.539
105.30	19.89	0.95	0.537
105.48	33.61	0.96	0.943
105.67	20.70	0.97	0.602
105.83	16.80	0.98	0.494
105.93	19.02	0.99	0.565
106.02	23.50	1.00	0.631
106.09	14.23	1.00	0.336
106.19	16.61	1.01	0.396
106.26	22.25	1.02	0.536
106.32	27.00	1.02	0.651
106.38	36.15	1.05	0.897
106.44	49.20	1.07	1.244
106.51	59.49	1.10	1.547
106.54	66.30	1.11	1.677
106.57	17.40	1.12	0.429
106.62	20.30	1.14	0.509
106.68	30.30	1.17	0.780
106.78	27.45	1.15	0.695
106.90	37.51	1.12	0.924
106.98	56.80	1.11	1.349
107.06	23.58	1.08	0.530
107.18	19.36	1.06	0.428
107.31	29.18	1.04	0.632
107.38	41.70	1.03	0.895
107.40	40.24	1.03	0.864
107.48	64.30	1.01	1.177
107.61	23.75	0.98	0.391
107.72	18.98	0.96	0.306
107.79	23.65	0.95	0.377
107.82	17.40	0.95	0.278
107.88	18.81	0.95	0.300
107.95	26.32	0.96	0.370
108.10	15.43	0.98	0.209
108.18	28.30	0.99	0.387
108.24	30.35	1.00	0.520
108.34	20.28	1.02	0.414
108.43	29.65	1.03	0.611
108.52	41.60	1.04	0.865
108.56	42.64	1.04	0.887
108.68	49.36	1.06	1.386
108.84	20.39	1.08	0.771
108.97	22.20	1.10	0.855
109.09	25.64	1.11	0.996
109.29	59.21	1.14	2.362
109.30	57.18	1.14	2.282
109.32	50.80	1.14	2.027
109.38	60.37	1.14	2.113
109.40	41.71	1.14	1.066
109.44	43.40	1.14	1.109
109.54	20.55	1.13	0.520
109.59	20.76	1.13	0.526
109.68	29.92	1.13	0.758
109.89	41.83	1.13	1.060
110.03	48.65	1.12	1.508
110.18	28.35	1.12	1.126
110.81	44.22	1.10	1.446
110.93	39.69	1.09	0.696
111.05	43.73	1.09	0.767
111.14	46.65	1.09	0.818
111.18	57.00	1.09	1.710
111.31	47.83	1.09	1.837
111.32	45.10	1.09	1.732
111.37	41.79	1.08	1.590
111.51	22.95	1.07	0.865
111.64	26.08	1.05	0.965
111.69	30.28	1.04	1.109
111.71	31.50	1.04	1.155
111.77	30.87	1.03	1.120
111.92	55.85	1.01	2.181
112.04	20.06	0.99	0.874
112.19	20.46	0.97	0.873
112.46	20.50	0.94	0.848
112.68	30.20	0.91	1.209
112.80	43.50	0.89	1.212
112.82	15.90	0.89	0.162
112.88	19.31	0.89	0.197
112.95	18.95	0.89	0.193
113.09	23.56	0.90	0.243
113.14	29.20	0.90	0.301
113.19	35.98	0.90	0.617
113.29	28.05	0.91	0.726
113.46	15.12	0.92	0.395
113.64	25.67	0.92	0.671
113.73	33.52	0.92	0.690
113.89	18.82	0.93	0.350
114.01	23.27	0.94	0.437
114.13	36.58	0.94	0.688
114.19	42.35	0.95	0.935
114.27	39.80	0.95	1.001
114.32	21.70	0.95	0.546
114.38	17.88	0.95	0.450
114.43	14.95	0.95	0.376
114.62	19.10	0.95	0.480
114.76	16.90	0.95	0.425
114.94	18.20	0.95	0.458
115.13	18.89	0.95	0.475
115.37	20.34	0.96	0.517
115.54	34.28	0.96	0.871
115.62	47.35	0.96	1.174
115.77	44.81	0.96	1.097
115.95	18.86	0.96	0.462
116.13	50.30	0.96	1.418
116.26	44.39	0.97	1.599
116.36	15.69	0.97	0.565
116.40	17.50	0.97	0.630
116.53	16.52	0.97	0.595
116.62	17.24	0.97	0.621
116.64	16.76	0.97	0.604
116.76	20.71	0.98	0.754
116.80	19.22	0.98	0.700
116.91	28.01	0.98	1.099
117.04	24.70	0.99	1.048
117.11	19.17	0.99	0.813
117.20	13.10	0.99	0.556
117.26	27.40	0.99	1.163
117.48	13.48	1.01	0.584
117.61	13.62	1.01	0.590
117.87	18.08	1.02	0.790
117.90	19.40	1.02	0.848
118.01	23.40	1.02	1.023
118.11	24.53	1.02	0.795
118.26	18.92	1.02	0.523
118.28	14.90	1.02	0.412
118.41	14.58	1.01	0.399
118.64	12.36	1.01	0.338
118.76	42.00	1.01	1.370
118.91	14.36	1.01	0.554
119.08	17.03	1.00	0.650
119.25	23.80	1.00	0.909
119.40	24.30	1.00	0.928
119.60	37.35	1.00	1.600
119.76	13.96	1.01	0.712
119.81	14.92	1.01	0.761
119.93	13.54	1.01	0.691
120.14	23.60	1.01	1.204
120.26	26.40	1.02	1.360
120.44	44.92	1.02	2.314
120.48	46.60	1.02	2.401
120.61	48.50	1.02	2.481
120.90	20.80	1.03	1.071
121.11	14.67	1.02	0.748
121.26	15.93	1.02	0.812
121.31	18.71	1.02	0.954
121.41	19.77	1.01	0.998
121.64	23.24	1.01	1.174
121.76	38.50	1.00	1.597
121.93	29.48	0.99	1.081
122.11	14.17	0.99	0.520
122.25	13.30	0.98	0.483
122.34	13.58	0.98	0.493
122.40	14.70	0.98	0.534
122.61	19.54	0.97	0.702
122.76	48.44	0.97	1.395
122.91	33.97	0.97	0.817
123.13	16.65	0.97	0.400
123.26	24.50	0.98	0.595
123.27	28.10	0.99	0.689
123.33	37.58	1.02	0.782
123.48	14.28	1.07	0.291
123.54	16.40	1.09	0.340
123.60	40.70	1.12	0.868
123.71	37.47	1.16	0.828
123.73	51.30	1.17	1.852
123.83	24.83	1.13	0.989
123.97	16.50	1.06	0.616
124.08	15.39	1.04	0.564
124.23	17.99	1.00	0.634
124.34	25.37	0.96	0.858
124.47	39.50	0.96	1.444
124.61	24.74	0.95	0.968
124.72	35.00	0.95	1.369
124.73	26.64	0.96	1.053
124.88	17.94	0.95	0.702
125.02	19.35	0.94	0.749
125.26	24.59	0.96	0.972
125.37	21.57	0.97	0.862
125.46	19.35	0.98	0.781
125.58	14.20	0.99	0.579
125.70	15.63	1.01	0.650
125.71	15.70	1.01	0.653
125.87	25.80	0.99	0.970
126.08	18.08	0.96	0.623
126.21	13.60	0.94	0.459
126.31	13.44	0.93	0.449
126.37	13.45	0.92	0.444
126.46	13.10	0.93	0.437
126.48	14.04	0.93	0.340
126.55	12.45	0.93	0.280
126.77	14.05	0.95	0.323
126.91	18.89	0.96	0.438
127.06	23.58	0.97	0.527
127.20	15.99	0.98	0.344
127.22	14.40	0.98	0.310
127.37	15.19	1.01	0.337
127.58	16.89	1.03	0.382
127.70	16.15	1.02	0.362
127.85	31.10	1.02	0.736
127.87	26.97	1.02	1.129
128.06	26.90	1.01	1.115
128.21	17.27	1.01	0.716
128.35	18.59	1.00	0.763
128.47	23.40	0.99	0.951
128.63	68.86	0.99	2.359
128.70	17.10	0.99	0.431
128.81	16.17	1.08	0.445
128.94	15.68	1.10	0.439
129.08	27.71	1.12	0.790
129.19	37.73	1.12	0.856
129.30	22.35	1.12	0.421
129.40	13.85	1.12	0.261
129.56	30.90	1.11	0.451
129.67	16.35	1.11	0.182
129.71	20.35	1.11	0.226
129.81	37.85	1.11	0.537
129.88	34.89	1.11	0.927
129.99	16.51	1.11	0.478
130.05	11.70	1.11	0.339
130.16	15.55	1.11	0.450
130.20	18.80	1.11	0.544
130.28	26.83	1.11	0.777
130.37	29.60	1.12	0.865
130.42	33.67	1.12	1.068
130.58	12.79	1.13	0.420
130.72	13.54	1.13	0.445
130.88	21.08	1.13	0.693
131.06	43.10	1.11	1.312
131.21	20.17	1.10	0.569
131.35	12.54	1.08	0.347
131.50	16.11	1.06	0.438
131.55	18.80	1.06	0.511
131.65	27.98	1.05	0.754
131.70	21.90	1.04	0.584
131.80	12.67	1.06	0.344
131.87	14.91	1.08	0.413
132.03	20.43	1.11	0.582
132.08	24.85	1.11	0.708
132.13	40.13	1.12	1.153
132.24	49.19	1.12	0.962
132.37	22.38	1.13	0.348
132.45	18.83	1.13	0.293
132.49	16.14	1.13	0.251
132.57	49.50	1.13	1.118
132.64	17.62	1.14	0.832
132.70	18.97	1.14	0.896
132.80	26.92	1.14	1.271
132.94	23.05	1.15	1.098
133.05	19.24	1.15	0.917
133.31	33.05	1.17	1.602
133.44	41.23	1.17	1.723
133.58	38.45	1.16	1.412
133.74	15.53	1.15	0.566
133.90	15.92	1.14	0.575
134.04	20.84	1.14	0.752
134.20	31.61	1.13	1.020
134.31	22.96	1.12	0.643
134.44	16.53	1.12	0.463
134.54	18.32	1.11	0.508
134.71	25.52	1.10	0.702
134.73	13.70	1.10	0.377
134.86	13.70	1.06	0.363
135.00	14.23	1.05	0.373
135.08	17.89	1.05	0.470
135.23	11.55	1.05	0.303
135.24	20.38	1.05	0.535
135.40	39.33	1.04	1.169
135.54	31.41	1.04	1.115
135.64	22.70	1.04	0.806
135.70	11.11	1.04	0.394
135.85	13.20	1.04	0.469
135.91	12.88	1.04	0.457
136.10	14.90	1.03	0.524
136.14	11.23	1.03	0.395
136.24	12.10	1.03	0.426
136.27	13.00	1.03	0.457
136.46	14.99	1.07	0.548
136.49	14.56	1.09	0.542
136.53	16.90	1.09	0.629
136.58	21.38	1.09	0.796
136.80	22.01	1.07	0.752
137.02	13.24	1.06	0.421
137.14	11.41	1.06	0.363
137.30	13.09	1.05	0.412
137.48	12.39	1.04	0.387
137.65	14.00	1.03	0.433
137.88	48.80	1.02	1.550
138.08	17.89	1.03	0.600
138.12	13.03	1.04	0.441
138.25	11.21	1.05	0.383
138.49	9.90	1.07	0.345
138.50	10.02	1.07	0.349
138.69	11.34	1.08	0.399
138.83	15.54	1.09	0.551
138.95	29.67	1.10	1.063
139.04	19.80	1.10	0.709
139.17	29.94	1.11	1.082
139.28	39.41	1.12	1.049
139.39	30.10	1.13	0.636
139.59	15.50	1.14	0.331
139.77	12.81	1.15	0.276
139.80	31.16	1.14	0.665
139.86	35.39	1.12	0.856
140.06	19.60	1.09	0.484
140.08	16.23	1.09	0.400
140.29	46.32	1.08	1.030
140.44	20.04	1.08	0.395
140.53	14.36	1.07	0.281
140.71	37.84	1.07	0.744
140.80	17.30	1.06	0.342
140.94	15.86	1.06	0.313
141.00	22.43	1.06	0.443
141.12	35.65	1.05	0.867
141.19	29.49	1.05	1.226
141.30	21.05	1.05	0.875
141.40	23.55	1.05	0.979
141.49	27.69	1.05	1.151
141.70	15.86	1.05	0.659
141.72	15.00	1.05	0.624
141.93	37.81	1.05	1.572
142.07	40.23	1.05	1.672
142.16	17.03	1.05	0.707
142.80	18.01	1.06	0.755
143.55	17.60	1.07	0.745
143.89	54.53	1.08	2.141
144.23	20.26	1.10	0.750
144.37	31.10	1.12	1.172
145.01	41.40	1.20	1.671
145.37	51.74	1.14	1.767
145.87	17.00	1.04	0.491
146.22	23.64	1.01	0.663
146.51	17.80	1.00	0.494
146.89	21.66	1.01	0.608
147.37	33.90	1.01	1.216
147.87	15.69	1.05	0.800
148.01	16.00	1.07	0.831
148.39	16.82	1.17	0.955
148.87	19.50	1.29	1.221
149.36	25.90	1.29	1.622
149.51	22.00	1.08	1.153
149.59	20.89	1.07	0.642
